                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     37,                 0.4354,                  0.551,                0.89016,                0.99488,                      1,                  0.995,                0.90166,                0.42521,                0.70621,                0.83563,               0.001307,               0.001307,               0.001307
                     38,                0.40817,                0.58828,                 0.9198,                0.99673,                      1,                  0.995,                0.92954,                0.37319,                0.66045,                 0.8419,              0.0012872,              0.0012872,              0.0012872
                     39,                0.38683,                0.54513,                0.88098,                0.99731,                      1,                  0.995,                0.96203,                0.32334,                 0.5738,                0.82972,              0.0012674,              0.0012674,              0.0012674
                     40,                0.42574,                0.54067,                0.91862,                0.99739,                      1,                  0.995,                0.96403,                 0.3113,                0.53727,                 0.8248,              0.0012476,              0.0012476,              0.0012476
                     41,                0.45574,                0.60182,                0.93215,                0.99743,                      1,                  0.995,                0.97107,                0.29939,                0.48915,                0.82091,              0.0012278,              0.0012278,              0.0012278
                     42,                0.39401,                0.51303,                0.87825,                0.99743,                      1,                  0.995,                0.96538,                0.34755,                0.48696,                 0.8199,               0.001208,               0.001208,               0.001208
                     43,                0.42876,                0.51275,                0.92345,                0.99745,                      1,                  0.995,                0.97932,                0.31663,                0.49335,                0.81616,              0.0011882,              0.0011882,              0.0011882
                     44,                0.46356,                0.55239,                0.92556,                 0.9974,                      1,                  0.995,                0.96203,                0.33189,                0.48626,                0.82022,              0.0011684,              0.0011684,              0.0011684
                     45,                0.40368,                 0.5262,                 0.9136,                0.99738,                      1,                  0.995,                0.93263,                0.36764,                0.49014,                0.82495,              0.0011486,              0.0011486,              0.0011486
                     46,                0.37266,                0.46245,                0.87949,                0.99739,                      1,                  0.995,                0.95343,                0.33551,                0.48024,                0.81802,              0.0011288,              0.0011288,              0.0011288
                     47,                0.44658,                0.51257,                0.92432,                0.99743,                      1,                  0.995,                0.96802,                0.28775,                0.43314,                 0.8072,               0.001109,               0.001109,               0.001109
                     48,                 0.3858,                 0.4921,                0.88449,                0.99729,                      1,                  0.995,                0.95428,                0.31004,                 0.4463,                0.81011,              0.0010892,              0.0010892,              0.0010892
                     49,                0.38575,                 0.4566,                0.88865,                0.99709,                      1,                  0.995,                0.92345,                0.41696,                0.49669,                0.83123,              0.0010694,              0.0010694,              0.0010694
